feature#	feature	Visual	Perceptual	Functional	Motoric
906	tear	1	1	1	1
907	teeth	1	0	0	1
908	telephone	0	0	0	0
909	tell	0	0	0	0
910	temporary	0	0	0	0
911	tendon	0	0	0	0
912	texture	0	1	0	0
913	thick	1	1	0	0
914	thin	1	1	0	0
915	think	0	0	1	0
916	thirst	0	1	1	0
917	thought	0	0	0	0
918	threat	0	0	1	0
919	throat	1	0	0	1
920	through	0	0	0	1
921	throw	0	0	0	1
922	thrust	0	0	0	1
923	thumb	1	0	0	1
924	tickle	0	1	0	0
925	tighten	0	0	1	0
926	tile	1	0	0	0
927	time	0	0	1	0
928	tire	1	0	0	1
929	tired	0	1	0	0
930	together	0	0	0	0
931	tone	0	1	0	0
932	tongue	1	0	0	0
933	tool	0	0	0	0
934	toothpaste	0	0	0	0
935	top	1	0	0	0
936	torso	0	0	0	0
937	toss	0	0	0	1
938	touch	0	1	1	0
939	toward	0	0	0	1
940	toy	0	0	0	0
941	track	0	0	1	0
942	trade	0	0	0	0
943	transfer	0	0	1	0
944	transparent	1	0	0	0
945	transport	0	0	1	1
946	travel	0	0	0	1
947	tree	1	0	0	0
948	trip	0	0	0	1
949	tropical	0	0	0	0
950	trunk	1	0	0	0
951	try	0	0	1	0
952	tug	0	0	0	1
953	turn	0	0	0	1
954	tusk	1	0	0	0
955	tv	0	0	0	0
956	twinkle	1	0	0	0
957	twist	0	0	0	1
958	uncomfortable	0	1	0	0
959	under	1	0	0	0
960	understand	0	0	1	0
961	unhappy	0	0	0	0
962	unhealthy	0	0	0	0
963	unpleasant	0	0	0	0
964	untangle	0	0	1	0
965	unwanted	0	0	0	0
966	up	1	0	0	0
967	upper-body	0	0	0	0
968	upright	1	0	0	0
969	upset	0	1	0	0
970	upside-down	1	0	0	0
971	useful	0	0	1	0
972	useless	0	0	1	0
973	utensil	0	0	0	1
974	vapor	0	0	0	0
975	vegetable	0	0	0	0
976	vehicle	0	0	0	0
977	verb	0	0	0	0
978	verbal	0	0	0	0
979	vibrate	0	0	0	1
980	view	1	0	0	0
981	vine	0	0	0	0
982	violent	0	0	0	0
983	visible	1	0	0	0
984	vision	1	0	0	0
985	visit	0	0	1	0
986	vitamin	0	0	1	0
987	vocal	0	0	0	1
988	vocal-cord	0	0	0	1
989	voice	0	0	0	0
990	waist	0	0	0	0
991	wait	0	0	0	1
992	walk	0	0	1	1
993	wall	1	0	0	0
994	want	0	0	0	0
995	war	0	0	0	0
996	warm	1	1	1	0
997	warn	0	0	1	0
998	watch	1	0	1	0
999	water	0	0	0	0
1000	weapon	0	0	0	0
1001	wear	0	0	1	0
1002	weather	0	0	0	0
1003	web	1	0	0	0
1004	weight	0	1	0	0
1005	welcome	0	0	1	0
1006	wet	0	1	0	0
1007	wheel	1	0	0	0
1008	whisker	1	0	0	0
1009	white	1	0	0	0
1010	wide	1	0	0	0
1011	wild	0	0	0	0
1012	wind	0	0	0	0
1013	window	1	0	0	0
1014	wing	1	0	0	1
1015	winter	0	0	0	0
1016	women	0	0	0	0
1017	wood	0	0	0	0
1018	wool	0	0	1	0
1019	word	0	0	0	0
1020	work	0	0	1	1
1021	wound	0	0	0	0
1022	wreck	0	0	1	0
1023	wrinkle	1	0	0	1
1024	write	0	0	1	1
1025	yard	0	0	0	0
1026	yell	0	1	0	0
1027	yellow	1	1	0	0
1028	zip	1	0	0	1
1029	zoo	0	0	0	0
